PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224014665,20059234,0,2020-03-26T12:30:00,"400 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-79.99749861,40.4383791
224016266,20059219,5,2020-03-26T08:00:00,"800 Block N Highland Ave Pittsburgh, PA 15206",N,Highland Park,5,BURGLARY,3502 Burglary.,1102,7,2,-79.92072169,40.46976349
224016357,20059144,14,2020-03-26T11:47:00,"2100 Block Forbes Ave Pittsburgh, PA 15219",Y,Bluff,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 13(a)(32) Paraphernalia - Use or Possession / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure,103,6,3,-79.97592199,40.43725965
224019334,20059261,0,2020-03-26T14:55:00,"Forbes Ave & Wood St Pittsburgh, PA 15222",N,Central Business District,2,99,601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks,201,6,6,-80.00082993,40.44009713
224045193,20059614,10,2020-03-26T22:00:00,"3500 Block Centralia St Pittsburgh, PA 15204",N,Chartiers City,6,TERRORISTIC THREATS,2706 Terroristic Threats. / 4304(a)(1) Endangering Welfare of Children.,2021,,,0,0
223732257,20056226,14,2020-03-21T18:04:00,"300 Block S Lang Ave Pittsburgh, PA 15208",N,Point Breeze,4,CRIM MISCHIEF,3304 Criminal Mischief.,1406,8,3,-79.90529052,40.44858136
223734637,20056252,0,2020-03-20T14:05:00,"4000 Block St Johns Way Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9999 9999 - (Misc. Incident): ,902,,,0,0
223738843,20056316,0,2020-03-21T20:20:00,"1500 Block Hubbard St Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): ,2703,1,1,-80.03730458,40.4782737
223757552,20056680,0,2020-03-22T10:00:00,"4700 Block Sciota St Pittsburgh, PA 15224",N,Bloomfield,5,99,9999 9999 - (Misc. Incident): ,802,7,2,-79.94854085,40.46046406
223761449,20056745,0,2020-03-22T16:24:00,"1100 Block Liverpool St Pittsburgh, PA 15233",N,Manchester,1,99,9999 9999 - (Misc. Incident): ,2107,6,1,-80.02176801,40.45605668
223762139,20056801,10,2020-03-22T17:56:00,"Homestead High Level Brg & Parkview Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,SIMPLE ASSAULT,2706 Terroristic Threats. / 2701 Simple Assault.,1414,,,0,0
223792676,20057150,0,2020-03-23T09:00:00,"5100 Block Penn Ave Pittsburgh, PA 15224",N,Bloomfield,5,99,9999 9999 - (Misc. Incident): ,809,7,2,-79.94273724,40.4647828
223799175,20057193,99,2020-03-23T11:15:00,"1200 Block Yetta Ave Pittsburgh, PA 15212",Y,Spring Hill-City View,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2620,1,1,-79.99301131,40.46320401
223825709,20057322,10,2020-03-23T14:24:00,"900 Block Millerdale St Pittsburgh, PA 15201",N,Stanton Heights,5,SIMPLE ASSAULT,2701 Simple Assault.,1005,9,2,-79.93781898,40.47559239
223826128,20057320,4,2020-03-23T14:47:00,"1500 Block Westmoreland St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,AGG-ASSAULT,2702 Aggravated Assault.,1202,9,2,-79.89459363,40.4682552
223829198,20057378,0,2020-03-23T16:55:00,"2500 Block Chauncey Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,99,9994 PFA Service,509,6,3,-79.97383971,40.4509833
223832566,20057374,9,2020-03-23T16:32:00,"1100 Block Highwood St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,FORGERY,4101 Forgery.,2715,1,1,-80.02526439,40.46835222
224278258,20063072,4,2020-04-01T17:53:00,"Rowan St & Montezuma St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,AGG-ASSAULT,2702 Aggravated Assault.,1203,9,2,-79.90453362,40.46533172
224303351,20063604,0,2020-04-02T13:30:00,"600 Block Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-80.00179283,40.44259292
224315042,20063747,0,2020-04-02T18:40:00,"2900 Block Devlin St Pittsburgh, PA 15210",N,Arlington,3,99,9993 PFA Service with Weapons Supplement,1603,3,3,-79.96760941,40.41484458
224100423,20060632,99,2020-03-28T17:05:00,"2700 Block Bergman St Pittsburgh, PA 15204",N,Sheraden,6,AIDED CASE,9497 Aided Case,2018,2,5,-80.05139003,40.45294461
224107118,20060846,6,2020-03-29T00:32:00,"1700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",1413,5,3,-79.9231547,40.43792491
224111091,20060844,10,2020-03-29T00:46:00,"6200 Block Kalida Dr Pittsburgh, PA 15206",Y,Central Oakland,5,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,406,9,2,-79.92043852,40.46410065
224113282,20060962,14,2020-03-29T05:45:00,"500 Block Collins Ave Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1113,,,0,0
224120642,20061027,0,2020-03-29T10:40:00,"200 Block Terragonna St Pittsburgh, PA 15210",N,Bon Air,3,99,9998 Overdose Other,1806,,,0,0
224126647,20061133,0,2020-03-29T13:44:00,"5800 Block Hobart St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): Medical Assistance,1408,5,3,-79.92291955,40.43373393
224129754,20061209,6,2020-03-29T15:50:00,"6300 Block Shakespeare St Pittsburgh, PA 15206",Y,Shadyside,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 9501 Bench Warrant",708,,,0,0
224067625,20059865,23,2020-03-27T11:37:00,"Centre Ave & Erin St Pittsburgh, PA 15219",Y,Middle Hill,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 9998 Overdose Other,501,6,3,-79.9789026,40.44435058
224134899,20061398,24,2020-03-29T20:46:00,"2600 Block S 18th St Pittsburgh, PA 15210",Y,South Side Slopes,3,DISORDERLY CONDUCT,5503 Disorderly Conduct. / 9498 302 (Mental),1706,3,3,-79.98528692,40.42107246
224134948,20061420,29,2020-03-29T21:20:00,"700 Block Johnston Ave Pittsburgh, PA 15207",N,Glen Hazel,4,RUNAWAYS - JUVENILE,029 Missing Juvenile,1504,5,3,-79.93345588,40.40580508
224087111,20060160,10,2020-03-27T20:36:00,"5100 Block Kincaid St Pittsburgh, PA 15224",Y,Garfield,5,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 13(a)(31) Marijuana: Possession Small Amount,1017,9,2,-79.9423191,40.46720353
224088047,20060226,0,2020-03-27T22:38:00,"1400 Block Rockland Ave Pittsburgh, PA 15216",N,Beechview,6,99,9998 Overdose Other,1916,4,5,-80.02038649,40.41299316
224101616,20060703,18,2020-03-28T17:35:00,"1000 Block Uvilla St Pittsburgh, PA 15220",Y,Elliott,6,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 7512 Criminal Use of Communication / 903 Criminal Conspiracy. / 13(a)(30)* Delivery of Controlled Substance,2020,2,5,-80.03830225,40.44557617
-3253007760,20060836,10,2020-03-29T00:08:00,"1000 Block Arlington Ave Pittsburgh, PA 15203",N,Allentown,3,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1803,3,5,-79.98897055,40.42439824
223886767,20058080,99,2020-03-24T18:30:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",N,California-Kirkbride,1,DRUG INVESTIGATION,9124 Drug Investigation,2507,6,1,-80.01656851,40.45687441
-3441000201,20058643,0,2020-03-25T16:34:00,"1700 Block Larkins Way Pittsburgh, PA 15203",N,South Side Flats,3,99,9999 9999 - (Misc. Incident): WELFARE CHECK,1702,3,3,-79.98215128,40.42749264
223968549,20058699,14,2020-03-25T17:57:00,"100 Block Virginia Ave Pittsburgh, PA 15211",N,Mount Washington,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1914,2,5,-80.00737601,40.42948311
224013333,20059190,0,2020-03-26T12:02:00,"1200 Block Mutual St Pittsburgh, PA 15204",N,Sheraden,6,99,9093 Indirect Criminal Contempt,2022,,,0,0
224033191,20059414,26,2020-03-26T17:52:00,"2500 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,509,6,3,-79.97383971,40.4509833
224319039,20063863,99,2020-04-02T20:40:00,"Mt Oliver St & S 18th St Pittsburgh, PA 15210",Y,South Side Slopes,3,FOUND PROPERTY,9489 Found Property,1706,3,3,-79.98634071,40.41809561
224335891,20064181,0,2020-04-03T11:40:00,"3700 Block Middletown Rd Pittsburgh, PA 15204",N,Windgap,6,99,9999 9999 - (Misc. Incident): Put Down Deer,2807,2,5,-80.07322029,40.45996135
224337961,20064234,26,2020-04-03T13:23:00,"400 Block Blvd Of The Allies Pittsburgh, PA 15219",Y,Central Business District,2,CRIMINAL TRESPASS,3503 Criminal Trespass,201,,,0,0
224347020,20064310,99,2020-04-03T16:23:00,"4000 Block Ohio River Blvd Pittsburgh, PA 15212",N,Brighton Heights,1,AIDED CASE,9497 Aided Case,2701,,,0,0
224355631,20064476,18,2020-04-03T20:21:00,"Broad St & N Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs.,1115,9,2,-79.92724316,40.46350244
224374126,20064837,14,2020-04-04T15:10:00,"500 Block Rosedale St Pittsburgh, PA 15221",N,Homewood South,5,CRIM MISCHIEF,3304 Criminal Mischief. / 8106 Shots Fired,1304,9,2,-79.88726104,40.44927111
224376213,20064895,6,2020-04-04T18:38:00,"1600 Block Clarkton St Pittsburgh, PA 15204",N,Windgap,6,THEFT,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2807,2,5,-80.07596477,40.45936737
224130682,20061271,10,2020-03-29T17:13:00,"100 Block Pius St Pittsburgh, PA 15203",Y,South Side Slopes,3,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1706,3,3,-79.98114612,40.42433324
224132824,20061262,99,2020-03-29T17:17:00,"1400 Block Cooper Ave Pittsburgh, PA 15212",N,Brighton Heights,1,AIDED CASE,9497 Aided Case,2701,1,1,-80.03704413,40.48391576
224133771,20061407,14,2020-03-29T19:00:00,"40 Block Zulema St Pittsburgh, PA 15213",N,Central Oakland,4,CRIM MISCHIEF,3304 Criminal Mischief.,406,,,0,0
224134727,20061433,99,2020-03-29T22:15:00,"6800 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood West,5,AIDED CASE,9497 Aided Case,1207,9,2,-79.90598514,40.45812233
224134956,20061201,99,2020-03-29T17:15:00,"100 Block Reservoir Dr Pittsburgh, PA 15206",N,Outside County,5,AIDED CASE,9497 Aided Case,6699,7,2,-79.91462641,40.47877279
224137346,20061455,5,2020-03-29T22:55:00,"4900 Block Baum Blvd Pittsburgh, PA 15213",N,Bloomfield,5,BURGLARY,3502 Burglary.,804,7,2,-79.94652204,40.45431576
224139594,20061554,1,2020-03-30T03:35:00,"7000 Block Monticello St Pittsburgh, PA 15208",N,Homewood North,5,CRIMINAL HOMICIDE,2501 Criminal Homicide.,1301,9,2,-79.90036131,40.46034491
224145245,20061613,99,2020-03-30T05:59:00,"4000 Block Penn Ave Pittsburgh, PA 15224",N,Bloomfield,5,ACCIDENTAL FIRE,9018 Accidental Fire,903,7,2,-79.95792745,40.46518837
224151277,20061752,0,2020-03-30T12:52:00,"600 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9998 Overdose Other,201,6,6,-80.00162376,40.44178095
224141063,20061501,0,2020-03-30T00:45:00,"7000 Block Monticello St Pittsburgh, PA 15208",N,Homewood North,5,99,9999 9999 - (Misc. Incident): Suspicious male,1301,9,2,-79.90036131,40.46034491
224160741,20061851,6,2020-03-27T13:00:00,"500 Block Chautauqua St Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2614,6,1,-80.01521874,40.46520492
224164954,20061931,0,2020-03-30T16:00:00,"5100 Block Dresden Way Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,99,9093 Indirect Criminal Contempt,1011,7,2,-79.95523964,40.47810076
224177104,20062133,0,2020-03-31T04:19:00,"900 Block Cherry Ct Pittsburgh, PA 15205",N,Crafton Heights,6,99,8106 Shots Fired,2814,,,-80.04627257,40.42427934
224216627,20062396,10,2020-03-31T16:03:00,"S 18th St & Southside Riverfront Park Access Rd Pittsburgh, PA 15222",Y,South Side Flats,3,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 13(a)(16) Possession of Controlled Substance / 4304(a)(1) Endangering Welfare of Children. / 3802(a)(1) DUI - General Impairment / 3736 Reckless Driving / 1543 Driving While Operating Privilege is Suspended or Revoked.,1702,,,0,0
224220359,20062604,4,2020-03-31T22:48:00,"100 Block Erin St Pittsburgh, PA 15219",N,Middle Hill,2,SIMPLE ASSAULT,2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.,501,6,3,-79.97929233,40.44491212
-3396010905,20059854,0,2020-03-27T11:30:00,"1200 Block Mutual St Pittsburgh, PA 15204",N,Sheraden,6,99,9093 Indirect Criminal Contempt,2022,,,0,0
224070749,20059906,6,2020-03-27T10:00:00,"6900 Block Mc Pherson Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1405,9,2,-79.90626356,40.45411658
224071432,20059905,0,2020-03-27T12:45:00,"500 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,99,2709(a)(2) Harassment by Following Person in Public Place(s),201,6,6,-79.99811947,40.44034004
224079531,20059958,6,2020-03-27T14:00:00,"1200 Block Farragut St Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3934 Theft from Vehicle,1106,7,2,-79.91697101,40.47460689
224080181,20059966,11,2020-03-27T00:01:00,"1600 Block Denniston St Pittsburgh, PA 15217",N,Squirrel Hill North,4,CREDIT CARDS,4106 Access Device Fraud,1403,5,3,-79.91836026,40.44032431
224086254,20060067,6,2020-03-27T00:01:00,"1600 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,203,7,6,-79.98747218,40.44883506
224090516,20060358,4,2020-03-28T04:30:00,"3300 Block Christy St Pittsburgh, PA 15204",N,Sheraden,6,AGG-ASSAULT,2702 Aggravated Assault.,2018,2,5,-80.05596102,40.45998866
-3376002208,20060470,6,2020-03-28T11:35:00,"500 Block Mountain Ave Pittsburgh, PA 15210",N,St. Clair,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1606,,,0,0
224094457,20060503,99,2020-03-28T12:55:00,"Sheridan Ave & Hampton St Pittsburgh, PA 15206",N,Highland Park,5,FOUND PROPERTY,9489 Found Property,1106,7,2,-79.91679467,40.47327614
224101002,20060687,26,2020-03-28T19:00:00,"300 Block Curtin Ave Pittsburgh, PA 15210",N,Beltzhoover,3,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,1809,3,5,-79.99888495,40.41996509
224101204,20060722,0,2020-03-28T19:33:00,"2000 Block Letsche St Pittsburgh, PA 15214",N,Fineview,1,99,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2509,6,1,-80.00845564,40.46348103
224106486,20060813,99,2020-03-28T22:46:00,"300 Block N Braddock Ave Pittsburgh, PA 15208",N,Point Breeze North,4,MENTAL 201/302,9498 302 (Mental),1405,9,2,-79.8928014,40.44965463
-3253007794,20065824,99,2020-04-06T09:35:00,"400 Block Michigan St Pittsburgh, PA 15210",N,Beltzhoover,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1809,3,5,-80.00019803,40.41569583
224425361,20066022,10,2020-04-06T15:24:00,"Bates St & I-376 Ramp Pittsburgh, PA 15213",N,South Oakland,4,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,409,,,0,0
224430057,20066092,10,2020-04-06T18:16:00,"S Highland Ave & Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,SIMPLE ASSAULT,2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1115,8,2,-79.92504657,40.45996187
224430825,20066215,0,2020-04-06T22:45:00,"1500 Block Antrim St Pittsburgh, PA 15212",N,Brighton Heights,1,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),2703,1,1,-80.03621858,40.47577852
224445296,20066374,6,2020-04-07T06:00:00,"7300 Block Baker Ter Pittsburgh, PA 15206",N,Morningside,5,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1014,,,0,0
224197936,20062260,10,2020-03-31T11:00:00,"800 Block Norwich Ave Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT,2709 Harassment (Non-Specific),1918,4,5,-80.02450877,40.39124509
224200414,20062274,29,2020-03-31T11:47:00,"200 Block S Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1115,9,2,-79.92888814,40.46078263
224208799,20062405,99,2020-03-31T16:20:00,"3000 Block Viola St Pittsburgh, PA 15214",N,Perry North,1,FOUND PROPERTY,9489 Found Property,2607,1,1,-80.01150813,40.47630131
224211667,20061891,0,2020-03-30T19:52:00,"5400 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,99,9993 PFA Service with Weapons Supplement,1515,5,3,-79.94195447,40.4025864
224213346,20062432,8,2020-03-31T17:12:00,"400 Block W North Ave Pittsburgh, PA 15212",Y,Central North Side,1,DANGEROUS BURNING,3301(d.1) Dangerous Burning / 3304 Criminal Mischief. / 7513 Restriction on Alcoholic Beverages - Open Container / 601.16 Public Urination And Defecation,2206,1,1,-80.01078786,40.45488673
224272815,20063097,27,2020-04-01T17:35:00,"1800 Block Morningside Ave Pittsburgh, PA 15206",N,Morningside,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1014,7,2,-79.92682501,40.48650656
224273009,20062987,10,2020-04-01T14:20:00,"1100 Block West Point Ave Pittsburgh, PA 15212",N,Brighton Heights,1,HARRASSMENT,2709 Harassment (Non-Specific),2708,,,0,0
224273041,20063051,0,2020-04-01T00:01:00,"1400 Block W North Ave Pittsburgh, PA 15233",N,Manchester,1,99,9999 9999 - (Misc. Incident): ,2107,6,1,-80.02576793,40.45221526
224274362,20062985,6,2020-04-01T14:00:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,509,6,3,-79.974274,40.44961434
224278272,20063123,4,2020-04-01T19:10:00,"500 Block Maytide St Pittsburgh, PA 15210",Y,Carrick,3,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault.,2904,4,3,-79.98842706,40.38449032
224280293,20063174,10,2020-04-01T20:55:00,"1200 Block Nolan Ct Pittsburgh, PA 15221",N,Homewood North,5,HARRASSMENT,2709(a) Harassment.,1301,9,2,-79.88687387,40.45943947
224221367,20062648,1,2020-04-01T00:34:00,"300 Block Meyran Ave Pittsburgh, PA 15213",Y,Central Business District,4,CRIMINAL HOMICIDE,2501 Criminal Homicide.,405,3,3,-79.95670629,40.43895176
224221786,20062622,99,2020-04-01T01:05:00,"5900 Block Baum Blvd Pittsburgh, PA 15206",N,Homewood North,5,MENTAL 201/302,9498 302 (Mental),1301,9,2,-79.9273016,40.45978967
224234997,20062820,0,2020-04-01T10:03:00,"6000 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,99,9992 Governor's Order Violation,1115,9,2,-79.92471042,40.46118894
-3254002465,20062906,99,2020-04-01T12:21:00,"300 Block 5th Ave Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-80.00029037,40.44052619
224271279,20062989,6,2020-04-01T13:00:00,"2300 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1306,9,2,-79.87408166,40.45475836
224272921,20062980,6,2020-04-01T08:30:00,"5200 Block Fifth Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4101 Forgery.,703,8,3,-79.93725823,40.44779484
-3354005241,20063246,29,2020-04-01T23:40:00,"100 Block N Linden Ave Pittsburgh, PA 15208",N,Point Breeze North,4,RUNAWAYS - JUVENILE,029 Missing Juvenile,1405,9,2,-79.90998519,40.4528225
224310842,20063682,10,2020-04-02T16:25:00,"Chartiers Ave & Berry St Pittsburgh, PA 15204",N,Windgap,6,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,2807,,,0,0
224313956,20063725,99,2020-04-02T18:00:00,"2900 Block Devlin St Pittsburgh, PA 15210",N,Arlington,3,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1603,3,3,-79.96760941,40.41484458
224315209,20063793,6,2020-04-02T18:34:00,"2300 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1609,3,3,-79.97265819,40.42578345
224109165,20060923,99,2020-03-29T01:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",Y,Chateau,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2108,6,1,-80.02196846,40.45121772
224124033,20061077,27,2020-03-29T12:06:00,"Hobart St & Wightman St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1413,5,3,-79.92756429,40.43261544
224144681,20061638,6,2020-03-30T07:00:00,"800 Block Eureka St Pittsburgh, PA 15210",N,Allentown,3,THEFT FROM AUTO,3934 Theft from Vehicle,1803,3,5,-79.99369636,40.42362997
224153477,20061768,0,2020-03-30T13:15:00,"3300 Block Stafford St Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): ,2018,2,5,-80.05487568,40.46028293
224170916,20062010,3,2020-03-30T22:20:00,"50 Block 11th St Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY,3701 Robbery.,201,3,3,-79.98767554,40.4289675
224500336,20067195,0,2020-04-04T09:00:00,"3400 Block Parkview Ave Pittsburgh, PA 15213",N,Central Oakland,4,99,9999 9999 - (Misc. Incident): ,406,3,3,-79.95183522,40.43464254
224503053,20067196,11,2020-04-08T00:01:00,"1200 Block Village Rd Pittsburgh, PA 15205",N,Fairywood,6,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft,2808,2,5,-80.07701439,40.44988833
224503292,20067214,11,2020-04-08T15:27:00,"100 Block Natchez St Pittsburgh, PA 15211",N,Mount Washington,3,CREDIT CARDS,4106 Access Device Fraud,1914,,,0,0
224504152,20067237,27,2020-04-04T16:30:00,"1100 Block Morrison St Pittsburgh, PA 15212",N,California-Kirkbride,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2507,6,1,-80.02307505,40.46010941
224504335,20067244,0,2020-04-08T00:01:00,"300 Block Ashton Ave Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1515,,,0,0
224504722,20067261,6,2020-03-28T17:00:00,"200 Block S St Clair St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.92987137,40.46115109
224322462,20063929,0,2020-04-02T23:50:00,"600 Block Brushton Ave Pittsburgh, PA 15221",Y,Homewood South,5,99,9999 9999 - (Misc. Incident): ,1304,9,2,-79.88917297,40.45275719
224338313,20064230,6,2020-04-03T13:12:00,"100 Block N Craig St Pittsburgh, PA 15213",Y,North Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,404,,,-79.87838243,40.443321
224362037,20064606,0,2020-04-04T02:40:00,"300 Block Boggs Ave Pittsburgh, PA 15211",Y,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1915,2,5,-80.00853788,40.42566134
224362638,20064578,0,2020-04-04T02:50:00,"600 Block Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,99,9093 Indirect Criminal Contempt,2304,1,1,-79.99867967,40.45221882
224375612,20064373,18,2020-04-03T18:10:00,"900 Block Saw Mill Run Blvd Pittsburgh, PA 15226",N,Bon Air,3,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 4703 Operation of Vehicle without Official Certif. of Inspection / 3334 Turning Movements and Required Signals. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1806,2,5,-80.02285675,40.42695204
224381768,20065192,11,2020-04-05T03:19:00,"1100 Block Greenfield Ave Pittsburgh, PA 15217",N,Greenfield,4,CREDIT CARDS,4106 Access Device Fraud,1517,5,3,-79.93000198,40.42160959
224329910,20064077,6,2020-04-03T08:30:00,"200 Block Atwood St Pittsburgh, PA 15213",Y,Central Oakland,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION",405,,,0,0
224335581,20064144,0,2020-04-03T10:30:00,"400 Block 56th St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,99,901 Criminal Attempt,1011,,,0,0
224337092,20064200,99,2020-04-03T12:21:00,"1400 Block Woodbourne Ave Pittsburgh, PA 15226",N,Brookline,6,FOUND DRUGS,9017 Found Drugs,1918,4,5,-80.01423128,40.38699121
224361003,20064570,10,2020-04-04T01:47:00,"1200 Block Milan Ave Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,2701 Simple Assault.,3206,4,5,-80.01262466,40.39375475
224362053,20064616,6,2020-04-04T04:00:00,"2300 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,501,6,3,-79.97395014,40.44520633
224380911,20065127,10,2020-04-05T01:35:00,"10 Block S Bouquet Ct Pittsburgh, PA 15213",Y,North Oakland,4,HARRASSMENT,2709(a) Harassment. / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,404,3,3,-79.95137802,40.43953059
224387544,20065263,6,2020-04-04T23:00:00,"3300 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,506,6,3,-79.9645154,40.45284249
