PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224416091,20065886,0,2020-04-06T11:30:00,"Allegheny Sq S Pittsburgh, PA 15212",N,Allegheny Center,1,99,2709(a)(2) Harassment by Following Person in Public Place(s),2204,1,1,-80.00702351,40.45150191
224430543,20066170,3,2020-04-06T20:15:00,"1400 Block Milan Ave Pittsburgh, PA 15226",N,Brookline,6,ROBBERY,3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,3206,4,5,-80.00934308,40.39364092
224435981,20066360,0,2020-04-07T07:27:00,"E Warrington Ave & Haberman Ave Pittsburgh, PA 15210",N,Beltzhoover,3,99,9998 Overdose Other,1809,3,5,-80.00248998,40.42103711
224456264,20066498,99,2020-04-07T12:00:00,"3400 Block Perrysville Ave Pittsburgh, PA 15214",Y,Perry North,1,DRUG INVESTIGATION,9124 Drug Investigation,2607,1,1,-80.01373985,40.48217125
223855406,20057766,0,2020-03-24T07:10:00,"1100 Block Woods Run Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9997 Overdose Death,2715,,,-79.88389821,40.44448757
224475065,20066651,6,2020-04-07T17:41:00,"2100 Block Lautner St Pittsburgh, PA 15212",Y,Troy Hill,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2406,1,1,-79.97842176,40.46856381
224475185,20066643,6,2020-04-07T11:30:00,"1100 Block Arch St Pittsburgh, PA 15212",N,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud,2206,1,1,-80.00862814,40.45512736
224475586,20066625,10,2020-04-05T04:10:00,"6900 Block Thomas St Pittsburgh, PA 15208",N,Point Breeze North,4,HARRASSMENT,2709(a) Harassment.,1405,9,2,-79.90690761,40.45321093
224481265,20066787,99,2020-04-07T23:42:00,"1100 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,7,6,-79.99237744,40.44416294
224496919,20067091,6,2020-04-08T12:00:00,"5500 Block Centre Ave Pittsburgh, PA 15232",Y,Shadyside,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",709,7,2,-79.93646237,40.45658778
224506649,20067313,27,2020-04-08T19:26:00,"Southside Riverfront Park Access Rd Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,,,0,0
224514405,20067560,99,2020-04-09T04:24:00,"200 Block S Dallas Ave Pittsburgh, PA 15208",N,Point Breeze,4,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1404,8,3,-79.90900842,40.45039485
224516299,20064718,18,2020-04-04T11:15:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 1371 Operation Following Suspension of Registration. / 1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility.,1203,9,2,-79.90861668,40.47030563
224543150,20067892,14,2020-04-09T17:19:00,"5600 Block Rural St Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief. / 3503 Criminal Trespass,1115,9,2,-79.92937759,40.4656099
-3250019273,20067911,14,2020-04-09T17:50:00,"5000 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,CRIM MISCHIEF,3304 Criminal Mischief.,1515,5,3,-79.94368636,40.40855025
224552877,20068120,9,2020-04-10T01:18:00,"1300 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,TAMPER WITH/FAB PHYS EVIDENCE,4910 Tampering with or Fabricating Physical Evidence. / 13(a)(32) Paraphernalia - Use or Possession,1918,4,5,-80.01084971,40.39227046
224690543,20070552,6,2020-04-14T12:00:00,"100 Block Laughlin Ave Pittsburgh, PA 15210",N,Carrick,3,THEFT FROM AUTO,3934 Theft from Vehicle,2902,4,3,-79.98911957,40.40408317
224694004,20070584,6,2020-04-14T13:26:00,"1300 Block Liverpool St Pittsburgh, PA 15233",N,Manchester,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2107,6,1,-80.0252555,40.45543588
-3308034948,20070603,10,2020-04-14T14:02:00,"400 Block Brownsville Rd Pittsburgh, PA 15210",Y,Mt. Oliver Boro,3,HARRASSMENT,2709(a) Harassment.,4810,3,5,-79.98912886,40.41325263
224539707,20067746,6,2020-04-09T12:20:00,"700 Block E Warrington Ave Pittsburgh, PA 15210",Y,Allentown,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1803,3,5,-79.99548871,40.42151898
224540635,20067838,10,2020-04-09T12:56:00,"5800 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,1115,,,0,0
224542441,20067836,11,2020-04-09T11:00:00,"4300 Block Stanton Ave Pittsburgh, PA 15201",N,Stanton Heights,5,IDENTITY THEFT,4120 Identity Theft,1005,9,2,-79.94339046,40.47927306
224542927,20067908,27,2020-04-09T16:00:00,"900 Block Fordham St Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1918,4,5,-80.02209859,40.39061493
224543333,20067910,0,2020-04-09T17:15:00,"1500 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours,2902,4,3,-79.98923424,40.40108642
224527059,20067714,99,2020-04-09T10:20:00,"3300 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry North,1,MENTAL 201/302,9498 302 (Mental),2602,,,0,0
224577710,20068455,29,2020-04-07T11:30:00,"500 Block Sickles St Pittsburgh, PA 15221",N,East Hills,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1306,9,2,-79.88140748,40.4494658
224580495,20068576,0,2020-04-10T20:30:00,"Macfarren St & Macfarren Way Pittsburgh, PA 15217",Y,Swisshelm Park,4,99,627.02(b)(i) Possessing a small amount of marijuana,1411,5,3,-79.91668052,40.41442023
